,Unnamed: 0,track_name,price,rating_count_tot,user_rating,prime_genre
105,118,Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,4.99,2913,4.0,12
106,119,iSwap Faces LITE,0.0,39722,3.0,14
107,120,DIRECTV,0.0,81006,3.5,13
108,121,NYTimes Crossword - Daily Word Puzzle Game,0.0,53465,3.5,0
109,122,Doodle Jump,0.99,395261,4.5,0
110,123,LEDit – The LED Banner App,1.99,2021,4.5,7
111,124,niconico,0.0,182,3.0,13
112,125,Fandango Movies - Times + Tickets,0.0,291787,4.0,13
113,126,iCab Mobile (Web Browser),1.99,2441,4.0,7
114,128,iRagdoll - Ragdoll Physics,0.99,1372,4.0,0
115,129,Proloquo2Go - Symbol-based AAC,249.99,773,4.0,16
116,130,Dictionary.com Dictionary & Thesaurus,0.0,200047,4.0,4
117,132,20 Minutes.fr - l'actualité en continu,0.0,112,3.5,19
118,133,The Masters Tournament,0.0,148160,4.5,10
119,134,myAT&T,0.0,108507,3.0,7
120,135,SFR TV,0.0,46,3.0,13
121,136,"Shutterfly: Prints, Photo Books, Cards Made Easy",0.0,51427,4.0,14
122,137,StickWars,0.99,53821,3.5,0
123,138,Indeed Job Search,0.0,38681,4.0,11
124,139,World Cup Table Tennis™,0.99,17776,4.0,0
125,140,WhatsApp Messenger,0.0,287589,4.5,9
126,141,"iStudiez Pro – Homework, Schedule, Grades",2.99,7308,4.0,1
127,142,Zillow Real Estate - Homes for Sale & for Rent,0.0,342969,4.5,17
128,144,2XL Supercross,4.99,6093,4.0,0
129,146,Pocket Tanks Deluxe,4.99,5452,4.5,0
130,148,Wells Fargo Mobile,0.0,43064,3.0,5
131,150,radio.de - Der Radioplayer,0.0,64,4.5,6
132,151,AutoScout24 - mobile used & new car market,0.0,220,4.5,1
133,152,Sky Burger - Build & Match Food Free,0.0,114096,4.5,0
134,153,MindNode – Delightful Mind Mapping,9.99,1296,4.0,1
135,154,Packing Pro,2.99,1293,4.0,8
136,155,USAA Mobile,0.0,19946,4.0,5
137,156,The Moron Test,0.0,88613,4.0,13
138,157,Sunday Lawn,0.99,107727,3.5,0
139,158,Peggle Classic,0.99,21416,4.5,0
140,159,SmartGo Player,2.99,533,4.0,0
141,160,I Am T-Pain 2.0,2.99,32650,3.5,6
142,161,TextNow - Unlimited Text + Calls,0.0,164963,3.5,9
143,162,Boating Weather,1.99,141,3.0,2
144,163,Best Buy,0.0,80424,4.0,3
145,164,I Dig It,0.99,17190,4.0,0
146,165,Unblock Me,0.99,7973,4.0,0
147,166,Sonic The Hedgehog,2.99,19621,4.0,0
148,168,10 Pin Shuffle Pro Bowling,3.99,7315,4.0,0
149,169,Sky News,0.0,118,3.0,19
150,171,"ESPN: Get scores, news, alerts & watch live sports",0.0,290996,3.5,10
151,172,LiveATC Air Radio,3.99,2785,4.0,8
152,173,The Sims 3,6.99,54408,3.5,0
153,175,"Chess Pro with Coach - Learn,Play & Online Friends",9.99,8138,4.0,0
154,176,Guess My Age  Math Magic,0.0,123190,3.0,16
155,177,Crush the Castle,0.99,23810,3.5,0
156,178,2016 U.S. Open Golf Championship,0.0,54192,4.0,10
157,179,"The Championships, Wimbledon 2016 - Tennis Grand Slam",0.0,20953,4.0,10
158,180,TuneIn Radio Pro - MLB Audiobooks Podcasts Music,9.99,71609,4.5,6
159,181,NBC News,0.0,32881,3.5,19
160,182,"Grindr - Gay and same sex guys chat, meet and date",0.0,23201,2.5,9
161,183,Whole Foods Market,0.0,17906,3.0,3
162,184,NAVIGON Europe,74.99,927,3.5,15
163,185,Virtual Families,1.99,18920,3.5,0
164,186,Sparkasse+,0.99,30,3.0,5
